#rxnMetaCycID	deltaG
RXN-16417	-14.977753
RXN-12563	[]
RXN-10665	8.252990
R282-RXN	-14.269287
ARGININE-N-SUCCINYLTRANSFERASE-RXN	-2.7935486
RXN-9637	-84.70169
RXN-7227	7.7464905
RXN-4230	-83.59476
RXN-19240	[]
RXN-13053	-0.37820435
RXN-13528	[]
RXN0-5052	-11.197113
RXN-11105	-72.8457
RXN-15971	6.2734528
RXN18C3-55	-93.85985
4.2.2.19-RXN	[]
RXN-8106	56.960175
RXN-18829	30.476715
RXN-13998	-24.765076
RXN-16449	6.5771484
RXNQT-4181	-122.3
RXN-10693	-4.0943604
RXN-16941	-78.10340
ASCORBATE-PHOSPHORYLATION-RXN	-16.064148
DIAMTRANSAM-RXN	[]
RXN-7404	-4.272949
2.1.1.118-RXN	-4.3600464
RXN-19265	-113.19289
RXN-19707	7.216976
RXN-13557	22.822815
RXN-17435	-1.7669678
RXN-11135	[]
RXN-11562	17.792908
RXN1F-10	[]
HALOACETATE-DEHALOGENASE-RXN	21.655128
RXN-8163	-22.962994
1.14.13.58-RXN	-91.900635
RXN-14025	7.2170105
RXN-8590	-67.26996
RXNQT-4327	-1.892395
RXN-20184	[]
RXN-16970	-14.353638
RXN-14465	-1.8417587
RXN-14493	-0.1665039
RXN-12037	[]
DIHYDROXYFUMARATE-DECARBOXYLASE-RXN	-10.501755
VICIANIN-BETA-GLUCOSIDASE-RXN	-3.112976
2.1.1.147-RXN	2.34198
RXN-9059	-36.23
RXN-19733	-5.9141235
RXN-14904	-5.0399933
RXN-17459	-7.472992
2.7.7.32-RXN	-103.30353
RXN-11589	-24.902252
RXN-17886	-11.424164
HISTPRATPHYD-RXN	-124.32709
N-ACETYLDIAMINOPIMELATE-DEACETYLASE-RXN	-1.9829865
RXN-8620	-82.52182
3.4.14.11-RXN	-21.005234
RXN-20221	[]
RXN-20676	[]
RXN-12061	-99.91788
RXN-18313	-156.19214
RXN-9085	22.247787
RXN-12508	-42.67447
RXN-14935	-2.039917
R202-RXN	-11.244751
2.7.8.24-RXN	-24.301086
RXN-9583	-13.
RXN-17916	-177.30579
RXN-3642	-2.905899
RXN-15422	-20.23996
RXN-15395	-81.78476
NACGLCTRANS-RXN	6.8976135
RXN-12986	-3.742981
3.4.18.1-RXN	-21.005234
RXN0-3542	-7.4371643
RXN-20703	[]
RXN-15930	69.697754
RXN-18349	2.6151218
4.1.1.78-RXN	-54.69478
RXN-12538	-107.35463
RXN-18775	[]
R231-RXN	-2.8417206
RXN-16402	-12.711792
RXN-9615	0.
RXN-10638	69.22366
RXN-4142	-2.834198
ARABINONATE-DEHYDRATASE-RXN	-8.166992
RXN-13023	-6.472889
RXN-7162	-24.801636
RXN0-4301	-0.86001587
RXN-19221	[]
RXN-15955	-81.78479
RXN-13511	6.8976135
4.2.1.111-RXN	-17.95697
RXN-11086	-19.598995
RXN-18814	-8.758148
RXN18C3-38	-3.6100464
RXN-16430	-2.6700134
RXN-8078	-15.27829
RXN-10673	6.8976135
RXN-13981	-3.6100464
ARYL-ALCOHOL-DEHYDROGENASE-RXN	23.084045
RXNQT-4162	6.897644
RXN-7248	14.706420
RXN-16919	-423.78174
RXN-19248	[]
DGDPKIN-RXN	94.98999
RXN-13536	1.2934875
2-OCTAPRENYLPHENOL-HYDROX-RXN	-91.900604
RXN-11114	-28.661499
RXN-19691	-283.57953
RXN18C3-7	18.477844
RXN-17415	-1.6264954
RXN-8137	-58.897118
RXN-11545	-36.46225
RXN-14006	0.
GUANIDOACETATE-KINASE-RXN	1.144165
RXNQT-4311	-184.48651
1.14.12.4-RXN	-74.09888
RXN-16951	-89.8988
RXN-8574	-3.6399841
DIGLUCOACETYL-DOCOSANOATE-ACETYL-RXN	-3.6100464
RXN-20166	[]
2.1.1.126-RXN	-34.742256
RXN-14445	-0.624115
RXN-19715	-108.40889
RXN-12020	-7.3900023
RXN-17442	-0.35173035
UROCANATE-HYDRATASE-RXN	5.2630005
RXN-11571	-61.0141
RXN-9038	6.8975983
HEPARITIN-SULFOTRANSFERASE-RXN	8.147950
RXN-14881	573.1781
1.14.13.69-RXN	-91.19880
2.7.11.27-RXN	-4.5446777
RXN-8599	-67.26996
RXN-17869	-15.561096
RXN-20196	[]
MTAMBARKMULTI-RXN	-8.906998
RXN-14476	-26.515259
3.4.11.5-RXN	71.434845
RXN-12045	[]
RXN-20660	[]
XANPRIBOSYLTRAN-RXN	-0.73480225
RXN-18297	-158.68896
RXN-9067	14.514252
RXN-12490	1.0817261
RXN-14918	-20.640007
R13-RXN	-2.4030037
2.7.7.44-RXN	-103.30347
RXN-9561	-4.716997
RXN-17895	0.
RXN-3542	-4.360016
RXN-15403	-4.360039
RXN-15376	-3.2200928
N-ACYLGLUCOSAMINE-2-EPIMERASE-RXN	0.
RXN-12965	-3.5299683
3.4.15.5-RXN	-21.005234
RXN0-304	0.52001953
RXN-20684	[]
RXN-15908	[]
RXN-18325	-7.684082
4-METHYLOXALOACETATE-ESTERASE-RXN	0.7587433
RXN-12517	-36.160004
RXN-18757	-11.477013
R213-RXN	-5.300903300e-2
RXN-10620	-33.58003
RXN-9592	-13.729431
AMP-NUCLEOSID-RXN	-5.2829895
RXN-3763	-104.27175
RXN-7066	6.897644
RXN-12999	-3.742981
RXN-19200	-0.80285645
RXN0-383	-113.54883
RXN-13494	-108.408905
RXN-15938	-7.1358643
RXN-11068	[]
4.1.2.20-RXN	1.164093
RXN18C3-240	[]
RXN-18788	-39.079987
RXN-8050	-85.46478
RXN-1641	0.
RXN-16379	-80.704666
RXN-10646	-83.237595
RXN-13964	-95.81354
ARALKYLAMINE-N-ACETYLTRANSFERASE-RXN	-15.561127
RXN8J2-148	[]
RXN-719	-85.394745
RXN-16888	-2.9059029
RXN-19229	-52.794136
DEOXYADENYLATE-KINASE-RXN	-0.7857666
RXN-13520	6.551697
2-HYDROXY-3-OXOADIPATE-SYNTHASE-RXN	-8.285858
RXN-11098	-12.3194275
RXN-19672	-21.9122
RXN18C3-46	-3.6099854
RXN-11529	-83.59476
RXN-8087	-10.256530
GSAAMINOTRANS-RXN	-1.46
RXN-13989	-56.317627
1.13.12.7-RXN	[]
RXNQT-4170	1.42
RXN-8555	-58.379974
RXN-16929	-11.409363
RXN-20144	-0.37823486
DHS-PHOSPHATASE-RXN	5.96875
RXN-1443	8.145874
2.1.1.103-RXN	-10.459991
RXN-11999	-154.95886
RXN-19699	6.8977203
UPPSYN-RXN	[]
RXN-17427	47.920593
RXN-9017	-4.3600006
RXN-11553	[]
RXN-14863	1.0870361
H2-METHYLENE-THMPT-DEHYDRO-RXN	-20.892303
2.7.1.152-RXN	-7.0269775
1.14.13.35-RXN	-88.18347
RXN-17845	7.3217773
RXN-8582	-13.105316
METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN	39.925995
RXN-20176	[]
3.2.2.23-RXN	88.01490
RXN-14457	-8.022995
RXN-20644	[]
RXN-12029	6.897644
RXN-18279	-157.44019
UTPHEXPURIDYLYLTRANS-RXN	-103.303406
RXN-12465	-51.300446
RXN-9050	-18.92749
R-6-HYDROXYNICOTINE-OXIDASE-RXN	-12.753006
RXN-14892	675.2112
RXN-9499	59.111187
2.7.4.24-RXN	-7.651367
RXN-3341	-0.13586426
RXN-17877	91.97708
RXN-15360	-3.6100464
MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN	-1.6799622
RXN-12943	12.832336
3.4.13.20-RXN	-0.4629879
RXN0-268	-1.0024414
RXN-20668	[]
RXN-15855	-13.105316
RXN-18305	52.636658
4-AMINOBENZOATE-1-MONOOXYGENASE-RXN	-82.353516
RXN-12498	-13.899963
RXN-18738	-97.0249
R163-RXN	9.71344
RXN-10606	8.145874
RXN-9574	-4.360016
AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN	0.26823425
RXN-3591	-3.1130066
RXN-682	-86.076416
RXN-15384	-85.394714
RXN-19181	[]
RXN-12978	-12.711731
RXN-13477	-4.836998
RXN0-3241	39.271484
RXN-11052	-83.59476
RXN-15920	1.0817871
RXN18C3-12	6.8976135
4.1.1.51-RXN	1.1482315
RXN-8025	-86.315186
RXN-18766	27.19289
RXN-16344	-126.30702
RXN-10629	-0.46818542
RXN-13948	-2.1560059
ANTHRANILATE-N-MALONYLTRANSFERASE-RXN	-2.1776123
RXN66-62	-41.62301
RXN-712	[]
RXN-16861	-2.1300163
RXN-19213	0.5241394
DCEREDCHLOR-RXN	[]
RXN-13503	-81.78473
2-ACYL2.3.1.15-RXN	325.0658
RXN-11078	-5.6553802
RXN-19655	-87.05475
RXN18C3-30	-3.6099854
RXN-11506	-86.4218
RXN-8059	-21.584175
GLYMALTOPHOSPHORYL-RXN	5083.089
RXN-16395	312.0276
1.13.11.14-RXN	-73.25825
RXN-13972	-1.8724365
RXN-8537	-9.167002
RXNMETA-12666	-82.63524
RXN-20127	-79.025116
RXN-16897	-92.26053
RXN-14414	-178.93951
DEOXYLIMONATE-A-RING-LACTONASE-RXN	2.4888115
RXN-11972	-1.663002
2-METHYLCITRATE-DEHYDRATASE-RXN	0.9129944
UDP-NACMUR-ALA-LIG-RXN	-6.385742
RXN-19682	-92.76184
RXN-9000	7.5217285
RXN-17406	4.577636700000e-5
RXN-17381	-111.41997
RXN-11537	-86.45477
RXN-14848	2.319992
GTP-CYCLOHYDRO-I-RXN	-12.088196
2.6.1.70-RXN	3.1958618
1.14.11.26-RXN	-107.80998
RXN-17813	-13.150010
RXN-8563	-60.98001
METHYL-GLYOXAL-DEHYDROG-RXN	-13.315338
RXN-20156	-51.991272
3.2.1.87-RXN	-219.97906
RXN-14438	-10.460007
RXN-20628	[]
RXN-12011	136.0033
RXN-12446	8.114044
UREASE-RXN	-5.9629974
PYRUVATE-DEHYDROGENASE-NADP+-RXN	-11.2323
RXN-9025	[]
RXN-9483	1.0818176
RXN-14872	[]
RXN-3163	-2.7671165
2.7.1.63-RXN	-224.01935
RXN-15341	-150.05756
RXN-17853	-16.185242
RXN-12921	-1.6264038
MMUM-RXN	-13.150010
RXN0-2281	0.
3.4.11.17-RXN	121.7072
RXN-18263	-95.81354
RXN-20652	[]
RXN-15836	-90.31027
RXN-18287	-156.19214
3.6.4.5-RXN	[]
RXN-12478	-24.902252
RXN-18719	133.68568
R11-RXN	0.74993896
RXN-10474	[]
RXN-9509	-3.321228
ALPHA-L-FUCOSIDASE-RXN	99.598206
RXN-3482	-19.897003
RXN-6682	-85.39475
RXN-15368	-101.926994
RXN-19163	[]
RXN-12954	-3.6099854
RXN-13459	-4.289997
RXN0-2942	[]
RXN-11030	-7.590027
RXN-15892	-23.376465
RXN0-884	2.6452026
4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	2.541809
RXN-8009	-85.03475
RXN-18748	-9.894756
RXN-16311	1.8399963
RXN-10613	64.55243
RXN-13932	-4.3599854
AMINOLEVULINATE-AMINOTRANSFERASE-RXN	0.9200134
RXN66-546	-17.913513
RXN-7002	-19.121758
RXN-16843	82.23242
RXN-19189	-1.5500183
D-TRYPTOPHAN-N-MALONYLTRANSFERASE-RXN	-4.041748
RXN-13486	-85.39476
1.97.1.8-RXN	[]
RXN-11060	8.145874
RXN-19632	0.48240662
RXN18C3-20	-19.482971
RXN-11475	-34.89514
RXN-8035	0.
GLYCINE-N-CHOLOYLTRANSFERASE-RXN	-5.044174
RXN-16368	-13.059998
1.1.3.41-RXN	-26.959991
RXN-13956	[]
RXN-8521	-9.167
RXN6666-7	-4.3600006
RXN-20107	-80.33356
RXN-16873	4.160015
RXN-14396	-13.166992
DEHYDDEOXGALACTKIN-RXN	-16.064148
RXN-11936	-86.25748
2-DEHYDROPANTOATE-REDUCT-RXN	2.293518
TYROSINE-23-AMINOMUTASE-RXN	-1.9300003
RXN-19664	3.7130127
RXN-8975	2.44140610000e-4
RXN-11520	-40.852997
RXN-17359	-83.58882
GLYOXYLATE-REDUCTASE-NADP+-RXN	6.713501
RXN-14827	-1.2900238
1.13.11.46-RXN	-108.28
2.6.1.35-RXN	-0.2758789
RXN-8546	-48.75
RXN-17793	2.1629639
RXN-20136	-208.51234
METHANE-MONOOXYGENASE-RXN	-77.00763
RXN-14422	-4.630615
3.2.1.7-RXN	[]
RXN-11982	-109.2926
RXN-20611	[]
UDPMANACATRANS-RXN	6.8975525
RXN-12424	[]
RXN-9008	6.897522
PYRIDOXAL-OXIDASE-RXN	-42.087135
RXN-17392	22.776367
RXN-9462	-97.86267
RXN-14855	-88.65057
RXN-2884	-8.577133
2.7.1.140-RXN	-24.801636
RXN-15320	4.577636700000e-5
RXN-17834	-103.70111
RXN-12900	-114.600494
METHYLGLUTACONYL-COA-HYDRATASE-RXN	3.0229492
RXN0-1842	308.1334
3.2.1.98-RXN	-337.72583
RXN-18246	-95.81348
RXN-20636	[]
RXN-15803	-58.586983
RXN-1827	-114.650635
3.5.4.30-RXN	-104.921936
RXN-12457	3.3328857
RXN-18699	-7.001831
QUERCITRINASE-RXN	-3.1129913
RXN-10451	7.5217285
RXN-9491	-0.6664429
ALKYLGLYCERONE-PHOSPHATE-SYNTHASE-RXN	-8.823029
RXN-3184	-35.901016
RXN-6561	[]
RXN-15352	6.103515600000e-5
RXN-13440	-654.4693
RXN-12931	-20.330078
RXN-11011	-18.625854
RXN0-2604	[]
RXN0-7317	[]
RXN-15847	-6.740036
RXN-7979	-67.95514
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	54.922485
RXN-16291	-7.9058228
RXN-18730	-17.056992
RXN-13915	-2.905899
RXN-10598	-48.75
RXN66-503	-69.98001
AMBENCOATHAUERA-RXN	7.4813843
RXN-19144	[]
RXN-6721	-4.705887
RXN-16822	[]
RXN-19173	6.897522
D-GLUTAMINASE-RXN	-7.907112
RXN-1347	2.5417938
1.7.99.8-RXN	-69.212944
RXN-11042	65.07889
RXN-19608	-0.4630432
RXN18C3-10	6.897629
RXN-11454	[]
RXN-8017	27.31112
GLYCEROL-2-DEHYDROGENASE-NADP+-RXN	4.3134766
RXN-16327	18.299927
1.1.1.52-RXN	-0.37825012
RXN-13940	77.005066
RXN-8505	-118.98932
RXN66-577	1.6567612
RXN-20086	0.231781
RXN-16851	-79.02524
RXN-14370	-4.567108
DARAB5PISOM-RXN	-1.46
RXN-11917	-7.0600586
13-BETA-OLIGOGLUCAN-PHOSPHORYLASE-RXN	-66.098755
TRYPTOPHAN-2-DIOXYGENASE-RXN	-109.23899
RXN-19640	-30.304497
RXN-8956	8.412742600e-2
RXN-11491	3.6799316
RXN-17339	-75.27353
GLYCOPHOSPHORYL-RXN	[]
RXN-14811	-0.18998718
1.10.3.7-RXN	-138.2658
2.5.1.63-RXN	-12.5058975
RXN-8529	-7.41
RXN-17777	1.0817871
RXN-20117	13.613571
MANNONDEHYDRAT-RXN	-8.166992
RXN-14404	8.465149
3.2.1.47-RXN	99.598206
RXN-11959	-1.0440903
RXN-20594	[]
UDP-GALACTURONATE-DECARBOXYLASE-RXN	0.5823364
RXN-12404	-20.659332
RXN-8987	-2.039917
PTAALT-RXN	9.759949
RXN-17372	-32.827026
RXN-9445	83.79031
RXN-14835	-6.8399963
RXN-2542	-20.640007
2.6.1.56-RXN	-3.2117767
RXN-15302	-64.16699
RXN-17803	[]
RXN-12879	-89.0748
METHIONINE--TRNA-LIGASE-RXN	-117.78479
RXN0-1061	-7.598816
3.2.1.77-RXN	298.79468
RXN-18229	1.1898804
RXN-20619	[]
RXN-15786	-4.360031
RXN-12434	[]
3.5.1.86-RXN	-5.337126
PYRNUTRANSHYDROGEN-RXN	1.248291
RXN-18677	-109.619995
RXN-9471	[]
RXN-10433	-38.08484
RXN-2948	-14.115845
ALDHDEHYDROG-RXN	-2.834198
RXN-15329	-2.605835
RXN-6461	-10.460007
RXN-12913	-73.887024
RXN-13415	-80.92073
RXN0-2023	[]
RXN-10997	-18.162811
RXN-18256	-156.19208
RXN0-7239	-12.711731
RXN-15813	-59.56653
RXN-7952	66.41072
3.6.1.24-RXN	44.039124
RXN-16269	-94.54413
RXN-18711	-85.22052
RXN-13899	6.897583
RXN-10460	-23.452995
RXN66-486	[]
ALLIIN-LYASE-RXN	130.87561
RXN-19124	-3.0899925
RXN-664	-87.00183
RXN-16803	-88.11594
RXN-1345	-20.34
D--TARTRATE-DEHYDRATASE-RXN	-7.2470093
RXN-11020	-13.
1.5.1.8-RXN	3.3322754
RXN0-7345	[]
RXN-19590	-1.3329926
RXN-7997	-3.6099243
RXN-11438	5.677002
RXN-16303	-1.33712
GLUTATHIONE-SYN-RXN	-6.265869
RXN-13923	-4.3599854
1.1.1.271-RXN	-1.6264648
RXN66-514	-16.027
RXN-8488	-69.362854
RXN-16830	-92.26056
RXN-14346	-10.459991
D-NOPALINE-DEHYDROGENASE-RXN	[]
RXN-11899	-83.78
1.8.4.9-RXN	-3.0724792
TRIMETHYLLYSINE-DIOXYGENASE-RXN	-109.620026
RXN-19622	0.9917908
RXN-8939	-16.709991
RXN-11463	17.956993
RXN-17320	-47.422424
GLYCERYL-ETHER-MONOOXYGENASE-RXN	-103.877
RXN-14796	-15.109985
1.1.1.99-RXN	3.5417786
2.4.99.6-RXN	-156.19208
RXN-8513	-22.369976
RXN-20071	40.68228
RXN-20095	-11.98526
RXN-17750	128.28632
RXN-14378	[]
MALTET-RXN	-3.113037
RXN-11928	-1.7140732
3.2.1.18-RXN	[]
TSA-REDUCT-RXN	-9.829346
RXN-20576	[]
RXN-8964	-2.039917
RXN-12383	0.
RXN-17348	-4.3600006
PROTEIN-LYSINE-6-OXIDASE-RXN	17.121479
RXN-14819	-14.94928
RXN-9430	-0.37820435
2.5.1.71-RXN	-14.675903
RXN-15284	-32.4588
RXN-17785	-2.1629028
RXN-12861	-11.454147
MCHMBARK-RXN	0.7105408
RXN-9983	4.95
3.2.1.58-RXN	-58.881775
RXN-18213	-93.99048
RXN-20603	[]
RXN-15766	-46.810364
RXN-12416	-97.86267
3.5.1.52-RXN	151.73969
PUTTRANSAM-RXN	1.5723495
RXN-2424	-1.5499878
RXN-9452	-4.360016
RXN-18660	-16.064026
RXN-2622	3.6099854
RXN-1026	[]
RXN-15310	-126.37236
ALANINE-DEHYDROGENASE-RXN	5.934662
RXN-12890	-33.65227
RXN-6380	-1.83105470000e-4
RXN0-1401	-2.0340576
RXN-13383	-157.89648
RXN-18239	-95.81348
RXN-10980	22.537659
RXN-15794	9.713501
RXN0-7139	11.519348
3.5.2.12-RXN	-0.46299744
RXN-7913	-0.78582764
RXN-18687	-138.53177
RXN-16252	-303.55273
RXN-10443	-88.52182
RXN-13882	-12.953552
ALIZARIN-2-BETA-GLUCOSYLTRANSFERASE-RXN	6.897644
RXN66-362	-1.5500183
RXN-6542	-111.41998
RXN-19104	-98.38757
RXN-13426	-73.37756
RXN-16783	-3.6099243
RXN-11004	-273.96472
CYSTAUR-RXN	-22.815872
RXN0-7280	-111.849
1.4.3.17-RXN	-41.813107
RXN-7970	2.3240967
RXN-19572	-0.4630165
RXN-16280	-14.815796
RXN-11423	-11.477009
RXN-13907	-90.70999
GLUTAMATE-FORMIMINOTRANSFERASE-RXN	10.101135
RXN66-494	[]
1.1.1.250-RXN	1.0817566
RXN-19135	[]
RXN-8472	6.8976135
RXN-16813	-72.634125
RXN-14325	-16.225708
D-ARABINOKINASE-RXN	-14.815918
RXN-11877	-103.30353
1.6.5.4-RXN	4.029907
TRANS-RXN-370	4.1469116
RXN-19598	-10.157112
RXN-8915	-20.803009
RXN-11445	-3.6100464
RXN-17293	6.897644
GLUTSEMIALDEHYDROG-RXN	1.7835693
RXN-14780	-23.25122
1.1.1.288-RXN	-8.71817
2.4.1.96-RXN	6.897583
RXN-8497	-69.98
RXN-20053	2.5871124
RXN-14360	0.
RXN-17728	20.375854
RXN-11909	-25.3
MALATE--COA-LIGASE-RXN	-3.0939941
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	-13.899963
3.2.1.150-RXN	-3.1131592
RXN-8947	-0.52233887
RXN-20560	[]
RXN-17329	-88.477615
RXN-12363	-3.4200134
RXN-14804	-1.55
PROPANEDIOL-PHOSPHATE-DEHYDROGENASE-RXN	1.0818481
2.5.1.39-RXN	-16.910004
RXN-9416	-93.320496
RXN-20081	-28.845581
RXN-15256	-13.964783
RXN-17765	-14.815857
RXN-12844	-127.94
MANDELATE-DEHYDROGENASE-RXN	[]
RXN-9949	-0.37820435
3.2.1.33-RXN	[]
RXN-18197	-40.98456
RXN-20584	[]
RXN-15747	-143.38828
RXN-12395	-172.13998
3.4.24.68-RXN	-11.821243
PRTRANS-RXN	7.9734497
RXN-22	6.0917664
RXN-9438	3.3913116
RXN-18643	-0.1665039
RXN-2464	5.128235
RXN-10130	9.6
RXN-15293	-2.3977737
AGARITINE-GAMMA-GLUTAMYLTRANSFERASE-RXN	-55.807854
RXN-12871	-7.261215
RXN-622	-112.30934
RXN-9992	8.46521
RXN-13355	-83.78
RXN-18221	-69.16824
RXN-10963	-1.8200684
RXN-15774	-15.335892
RXN0-7075	-6.0322876
3.5.1.76-RXN	16.695118
RXN-16236	-50.509003
RXN-18669	-3.5
RXN-13865	5.6299744
RXN-10425	-77.59826
RXN66-345	-92.76176
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN	23.45575
RXN-19085	-102.38050
RXN-6421	-20.956543
RXN-16767	0.
RXN-13391	127.90527
CYCLOHEXANE-12-DIOL-DEHYDROGENASE-RXN	-0.37820435
RXN-10989	-85.66846
1.3.1.66-RXN	-6.3582153
RXN0-7173	-22.027122
RXN-7883	-173.04
RXN-7933	-1.9830017
RXN-19555	4.810005
RXN-16260	-117.365295
RXN-11408	[]
RXN-13890	[]
GLUCOSE-DEHYDROGENASE-ACCEPTOR-RXN	-24.08226
RXN66-477	-331.11646
1.1.1.199-RXN	7.2964478
RXN-19116	-73.5246
RXN-8449	8.351746
RXN-16795	-88.115906
RXN-14292	-82.27515
CYSTINE-REDUCTASE-NADH-RXN	-3.8182068
RXN-11852	-3.6099854
1.5.1.25-RXN	-31.053589
TOLUENE-2-MONOOXYGENASE-RXN	-96.82883
RXN-19582	4.8100095
RXN-8889	-1.5200195
RXN-11430	-0.4630127
RXN-1727	-77.12225
GLUTAMINE-N-PHENYLACETYLTRANSFERASE-RXN	-1.4041443
RXN-14761	0.
1.1.1.261-RXN	-6.1193237
2.4.1.47-RXN	-95.81354
RXN-8480	6.897644
RXN-20031	-9.903442
RXN-14337	-187.28833
RXN-17711	-28.701843
RXN-11889	-126.627014
LYSINE--PYRUVATE-6-AMINOTRANSFERASE-RXN	-0.91587734
TRE6PHYDRO-RXN	-3.1130066
3.2.1.129-RXN	161.84912
RXN-8925	41.854485
RXN-20543	[]
RXN-17311	-113.606445
RXN-12341	20.25312
RXN-14788	7.0598755
PREPHENATE-DEHYDROGENASE-NADP+-RXN	-18.798279
2.4.2.35-RXN	-75.2713
RXN-9397	-1.9281921
RXN-20062	-20.1371
RXN-15239	-92.26056
RXN-17737	128.2863
RXN-12826	49.17328
MALEYLPYRUVATE-ISOMERASE-RXN	0.
RXN-9918	170.99902
3.2.1.158-RXN	[]
RXN-18180	-22.159698
RXN-20568	[]
RXN-15728	-6.7281494
RXN-12374	-34.742218
3.4.24.53-RXN	-12.679367
PROPKIN-RXN	9.708313
RXN-2103	-548.56384
RXN-9423	-1.2218018
RXN-18621	[]
RXN-15266	-10.208190
RXN-10112	[]
RXN-12852	-22.660004
ADENOSYLMETHIONINE-CYCLOTRANSFERASE-RXN	1.8499832
RXN-9969	-169.
RXN-5861	-86.73999
RXN-18205	-1.8417625
RXN-13329	30.276985
RXN-15757	-96.48001
RXN-10945	17.20288
3.4.24.75-RXN	[]
RXN0-7012	80.920715
RXN-2209	8.1458435
RXN-16214	15.873580
RXN-18652	-6.604767
RXN-13844	-111.06
RXN-10138	7.5217285
RXN66-316	-86.25757
AIRS-RXN	9.974121
RXN-19059	-4.705887
RXN-6264	-5.2382355
RXN-16745	6.103515600000e-5
RXN-13374	-87.45999
COUMARATE-REDUCTASE-RXN	9.051788
RXN-10972	-7.0269775
1.21.4.1-RXN	-15.902237
RXN0-7100	[]
RXN-7852	15.842041
RXN-16244	13.795440
RXN-19538	-114.27179
RXN-13873	-13.52124
RXN-11391	-30.757725
RXN66-354	-1.5499878
GLUCONATE-2-DEHYDROGENASE-RXN	[]
RXN-19094	-113.7511
1.1.1.149-RXN	-9.189423
RXN-16775	-28.981812
RXN-8430	-26.50998
CYCLOPENTANONE-MONOOXYGENASE-RXN	-93.320496
RXN-14275	1.0817871
1.3.99.16-RXN	[]
RXN-11832	-0.7858887
RXN-19563	-1.333004
THREONINE-ALDOLASE-RXN	1.
RXN-11416	-78.35477
RXN-17249	-95.81354
GLUCURONOLACTONE-REDUCTASE-RXN	1.2935181
RXN-14743	1.6264343
1.1.1.222-RXN	-6.72937
2.4.1.242-RXN	175.21973
RXN-8457	-9.341309
RXN-20010	11.221771
RXN-14313	-95.442245
RXN-17693	-53.13999
RXN-11861	-124.82526
LIPIDXSYNTHESIS-RXN	-10.245330
TRANS-EPOXYSUCCINATE-HYDROLASE-RXN	-3.6329956
3.2.1.100-RXN	[]
RXN-8901	70.69
RXN-8865	-283.58224
RXN-17281	-24.902313
RXN-20525	[]
RXN-14772	2.1629944
RXN-12321	-21.45996
2.4.1.74-RXN	[]
POLYAMINE-OXIDASE-RXN	-22.204773
RXN-20044	-35.77997
RXN-9380	-4.3382187
RXN-17719	-19.146118
RXN-15223	-0.5200043
LYSOLECITHIN-ACYLMUTASE-RXN	0.
RXN-12804	6.8976746
3.2.1.139-RXN	68.784836
RXN-18164	-89.83178
RXN-20552	[]
RXN-15708	-20.042969
RXN-12350	-3.5299988
3.4.24.37-RXN	-12.679367
PROCOLLAGEN-PROLINE-3-DIOXYGENASE-RXN	-111.41998
RXN-21006	[]
RXN-9408	-89.15048
RXN-18597	-16.064026
RXN-15248	-24.939999
RXN-10095	14.601776
RXN-12836	-14.119995
ACYLCARNITINE-HYDROLASE-RXN	141.02855
RXN-9934	3.2175903
RXN-9904	-0.84412384
RXN-18188	1.472992
RXN-5502	-16.406998
RXN-15737	-113.29181
RXN-13308	12.623535
3.4.24.60-RXN	-12.679367
RXN-10927	[]
RXN-21040	[]
RXN0-6981	-1.2130127
RXN-18631	-4.015869
RXN-16194	-0.4630127
RXN-10121	-53.632355
RXN-1382	7.596985
ADENYLYLSULFATE-REDUCTASE-RXN	[]
RXN66-241	-10.459991
RXN-6002	-14.977722
RXN-19041	-87.124756
RXN-13340	28.528225
RXN-16722	-4.3600235
RXN-10955	17.20288
COA-DISULFIDE-REDUCTASE-NADH-RXN	-11.002320
RXN0-703	6.0018005
1.2.1.56-RXN	-0.16647339
RXN-16226	-50.29252
RXN-7817	-99.32048
RXN-13852	-59.78125
RXN-19518	-17.377625
RXN66-337	-1.3330078
RXN-11372	-210.38828
RXN-19071	24.923004
GENTAMICIN-2-N-ACETYLTRANSFERASE-RXN	-2.793518
RXN-16753	-86.29053
--LIMONENE-3-MONOOXYGENASE-RXN	-89.07478
CTPSYN-RXN	-17.052856
RXN-8413	-62.47528
1.3.1.49-RXN	-23.367187
RXN-14257	10.157532
RXN-7860	-16.909973
RXN-11806	6.8975983
RXN-19546	4.8099823
THIAZOLSYN3-RXN	-14.815918
RXN-114	-110.49525
RXN-17228	-4.3599854
GLUCOSAMINEPNACETYLTRANS-RXN	-6.538269
RXN-14721	32.032875
1.1.1.177-RXN	4.7335205
2.4.1.220-RXN	6.8976135
RXN-8438	6.897583
RXN-19992	0.
RXN-14284	-10.329956
RXN-17672	2.541809
RXN-11840	-13.899963
LIMONIN-D-RING-LACTONASE-RXN	-9.878336
THYMIDINE-TRIPHOSPHATASE-RXN	-102.58893
3.1.4.47-RXN	336.68454
RXN-17258	-7.2199707
