#model.rxns	grpCont_deltaG	grpCont_uncertainty	grpCont_lnRevIdx	MetaCyc_deltaG	MetaCyc_rxnDirection	MetaCyc_lnRevIdx	SEED_deltaG	SEED_uncertainty	SEED_lnRevIdx	SEED_rxnDirection	memote_revIdx	model_rxnDirection	Action	New_model.lb	Notes
r_0499	-6.68	1.5488	-11.4176	[]	[]	[]	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0500	5.246	1.0927	4.4271	6.12	5.1647	=	8.44	0.51	7.1225	=	-7.7821	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0502	-0.053	1.8258	-6.9435	[]	[]	[]	[]	[]	[]	[]	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0503	-0.053	1.8258	-6.9435	[]	[]	[]	[]	[]	[]	[]	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0505	1.548	2.301	-5.8627	-1.1382	-7.6762	=	1.08	0.23	-6.1786	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0506	2.836	1.9238	2.3933	[]	[]	[]	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0507	-2.294	2.0926	-1.2906	[]	[]	[]	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0508	1.548	2.301	-5.8627	[]	[]	[]	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0511	[]	[]	[]	[]	[]	[]	228.78	1.28	264.3309	<	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0526	-8.883	1.2479	0.9107	-4.123	4.1242	>	-8.88	3.73	0.9127	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0536	-4.583	2.1592	-2.5784	-9.9393	-5.5919	>	-1.52	0.54	-0.8552	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0537	-2.317	0.7356	-1.9553	5.9687	5.037	>	-4.1	0.53	-3.46	=	-9.1224	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0538	-2.46	0.183	-2.076	-1.76	-1.4852	=	-1.82	0.71	-1.5359	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0541	-6.74	2.3268	-11.4581	[]	[]	[]	6.74	5.11	-2.3574	=	7.5689	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0542	0.053	0.8965	6.9674	0.053	6.9674	=	-1.18	0.45	5.58	=	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0543	8.927	1.3086	5.0223	-10.0954	-5.6797	=	6.93	0.67	3.8988	<	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0544	-13.146	2.6072	-15.7829	-13.15	-15.7856	>	-13.15	4.96	-15.7856	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0545	3.13	1.2408	-4.7946	2.3241	-5.3387	>	1.86	0.82	-5.652	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0546	5.22	1.0698	10.4319	[]	[]	[]	5.37	0.41	10.5331	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0547	5.22	1.0698	10.4319	[]	[]	[]	5.37	0.41	10.5331	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0549	-3.614	1.1786	-3.0499	-3.61	-3.0465	=	-6.11	1.15	-5.1562	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0550	[]	[]	[]	-53.6618	-29.3203	>	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0551	[]	[]	[]	-53.6618	-29.3203	>	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0552	[]	[]	[]	-53.6618	-29.3203	>	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0553	-5.757	1.2073	-10.7944	-6.3771	-11.2131	>	-6.76	0.73	-11.4716	>	-12.6798	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0554	-5.757	1.2073	-10.7944	-6.3771	-11.2131	>	-6.76	0.73	-11.4716	>	-12.6798	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0555	-16.91	0.639	-14.2703	-16.91	-14.2703	>	-18.75	0.66	-15.8231	>	-15.3191	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0557	-25.973	2.6139	-21.9186	-49.5648	-41.8277	>	-32.71	2.06	-27.604	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0558	1.174	2.3654	0.6605	-9.1793	-5.1643	=	0.48	0.43	0.27	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0559	6.467	1.2958	3.6383	-9.5835	-5.3917	=	4.62	0.58	2.5992	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0560	6.467	1.2958	3.6383	-9.5835	-5.3917	=	4.62	0.58	2.5992	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0562	3.01	0.9767	2.5401	40.0043	33.7596	>	6.11	0.38	5.1562	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0563	[]	[]	[]	-14.8577	-22.1744	>	25.53	4.45	0.5477	<	-7.4134	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0564	-10.627	0.6688	-18.8652	-10.627	-18.8652	>	-9.86	0.47	-18.0022	>	-16.8278	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0565	1.577	1.5551	0.8872	2.4288	1.3665	=	4.75	0.95	2.6723	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0566	-14.457	1.8319	-16.668	-34.4536	-30.1681	>	-18.48	1.45	-19.384	>	-27.7638	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0567	-4.09	0.5959	-3.4515	-3.4659	-2.9249	>	1.21	0.82	1.0211	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0568	-5.391	1.2247	-4.5495	4.147	3.4996	>	-3.46	0.05	-2.9199	=	-8.8516	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0569	-5.391	1.2247	-4.5495	4.147	3.4996	>	-3.46	0.05	-2.9199	=	-8.8516	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0570	-2.583	2.2992	-9.8141	26.846	23.2994	=	4.15	1.31	-2.2382	=	-7.3983	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0656	[]	[]	[]	[]	[]	[]	-6.4	0.52	-11.2285	>	-12.0784	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0658	3.13	1.2408	-4.7946	[]	[]	[]	1.41	0.78	-5.9558	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0659	3.13	1.2408	-4.7946	[]	[]	[]	1.41	0.78	-5.9558	>	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction | Reference to MetaCyc ID ISOCITDEH-RXN, same as current model reaction direction"
r_0661	3.13	1.2408	-4.7946	[]	[]	[]	1.41	0.78	-5.9558	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0662	5.02	0.4214	-1.2593	[]	[]	[]	2.25	0.33	-4.3761	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0663	0	2	0	-1.3459	-1.1358	=	-1.34	0.85	-1.1308	=	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0664	0	2	0	-1.3459	-1.1358	=	-1.34	0.85	-1.1308	=	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0667	0.66	0.4189	1.1139	0.66	1.1139	=	-1.17	0.71	-1.9747	=	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0669	[]	[]	[]	-0.1665	6.7953	>	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0670	-12.813	0.5606	-15.5581	-14.1871	-16.4858	>	-12.1	0.51	-15.0767	>	-19.1889	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0671	-95.8267	1.3146	-39.3026	-91.9005	-37.4093	>	-105.96	0.91	-44.1892	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, matches reaction directions from MetaCyc and SEED | deltaG from all sources are highly negative | All reversibility indexes calculated from deltaG are highly negative"
r_0672	6.054	1.7194	3.406	3.3758	1.8992	=	[]	[]	[]	[]	-7.0838	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0673	[]	[]	[]	-13.1053	-7.373	>	[]	[]	[]	[]	-7.4626	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0674	0	2	0	1.8641	1.5731	=	0.07	0.13	0.0591	=	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0675	3.21	0.6157	-3.2959	2.34	-4.2748	=	-0.24	0.54	-7.1778	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0676	[]	[]	[]	-0.1665	-7.0202	>	4.02	0.24	-4.1938	=	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0679	-4.723	0.8806	-3.9857	-4.2971	-3.6264	>	-4.01	0.86	-3.384	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0680	-4.723	0.8806	-3.9857	-4.2971	-3.6264	>	-4.01	0.86	-3.384	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0681	0	2	0	0.7	0.5907	=	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0682	0	2	0	0.7	0.5907	=	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0683	0	2	0	0.7	0.5907	=	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0687	-0.99	1.248	6.2394	[]	[]	[]	11.95	1.71	14.9754	<	-10.7268	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0688	6.22	1.0951	11.107	2.2935	8.4562	>	2.47	0.51	8.5753	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0689	-7.51	0.6428	-15.358	-10.3841	-18.592	>	-6.93	0.23	-14.7054	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0690	5.22	1.0698	-3.3836	-0.7565	-7.4185	>	4.51	0.45	-3.863	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0691	[]	[]	[]	[]	[]	[]	3.1	0.42	-4.8149	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0692	-5.7	0.6867	-13.3214	-7.6541	-15.5202	>	-5.92	1.01	-13.5689	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0693	-5.7	0.6867	-13.3214	-7.6541	-15.5202	>	-5.92	1.01	-13.5689	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0694	-92.0997	1.7983	-96.7228	-89.69	-94.0114	>	-82.24	1.58	-85.6286	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0696	-9.803	1.1761	-5.5152	-13.5353	-7.615	>	-10.65	0.48	-5.9917	=	-9.2501	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0697	10.266	1.1236	18.4591	10.27	18.4636	=	5.61	0.71	13.2201	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0698	-86.57	9.8774	-146.1128	-86.57	-146.1128	>	-86.57	10.11	-146.1128	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0699	0	2	0	0.6541	0.552	=	0.07	0.38	0.0591	=	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0700	0	2	0	0.6541	0.552	=	0.07	0.38	0.0591	=	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0707	-3.633	1.9598	2.8199	-3.633	2.8199	>	6.48	0.85	14.199	=	10.1581	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0708	-3.633	1.9598	2.8199	-3.633	2.8199	>	6.48	0.85	14.199	=	10.1581	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0713	6.22	1.0951	-2.7085	4.4618	-3.8955	=	7.09	0.07	-2.1212	=	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0714	6.22	1.0951	-2.7085	4.4618	-3.8955	=	7.09	0.07	-2.1212	=	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0715	6.22	1.0951	-2.7085	4.4618	-3.8955	=	7.09	0.07	-2.1212	=	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0716	8.967	1.2557	5.0448	-9.2512	-5.2047	>	8.1	0.51	4.5571	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0717	8.967	1.2557	5.0448	-9.2512	-5.2047	>	8.1	0.51	4.5571	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0718	1.32	1.217	-6.0166	-0.3199	-7.1238	>	3.13	0.76	-4.7946	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0719	1.32	1.217	-6.0166	-0.3199	-7.1238	>	3.13	0.76	-4.7946	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0721	0	2	0	-8.3987	-7.0877	>	[]	[]	[]	[]	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0723	-0.89	0.6089	-1.5021	[]	[]	[]	-0.21	0.17	-0.3544	=	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0724	-0.613	2.1868	-0.5173	[]	[]	[]	-1.3	0.22	-1.0971	<	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0725	-0.613	2.1868	-0.5173	[]	[]	[]	-1.3	0.22	-1.0971	<	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0727	-6.406	1.2711	-5.406	[]	[]	[]	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0731	1.92	1.9417	1.6203	[]	[]	[]	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0732	1.92	1.9417	1.6203	[]	[]	[]	[]	[]	[]	[]	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0733	1.92	1.9417	1.6203	[]	[]	[]	[]	[]	[]	[]	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0734	4.98	0.4491	-1.3043	3.9782	-2.4314	=	2.27	0.73	-4.3536	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0757	-2.317	0.7356	-1.9553	7.217	6.0904	>	-5.17	0.34	-4.363	=	-10.1727	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0758	[]	[]	[]	[]	[]	[]	14.37	1.78	24.2537	=	-20.2973	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0759	-0.356	1.195	-0.2003	0.5353	0.3011	=	1.6	0.39	0.9002	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0760	-5.294	1.26	-10.4818	-6.5383	-11.3219	>	-5.46	0.91	-10.5939	>	[]	=	Change to irreversible forward	0	deltaG from all sources are negative | All reversibility indexes calculated from deltaG are highly negative | Reaction directions from MetaCyc and SEED are irreversible forward
r_0761	-5.294	1.26	-10.4818	-6.5382	-11.3218	=	-5.12	0.81	-10.3644	>	[]	=	Retain model reaction direction	[]	Similar to r_0760 but 1 different reactant and product involved | Conflict in MetaCyc and SEED reaction direction | Conservative approach to retain reaction direction despite highly negative deltaG and reversibility indexes
r_0762	-0.503	1.0113	-7.2473	-1.1171	-7.6619	>	-7.42	1.34	-11.9171	=	-13.0058	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0767	-3.673	1.0221	-9.3875	-13.5212	-16.0362	>	-8.85	0.79	-12.8826	>	-14.0099	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0770	[]	[]	[]	[]	[]	[]	-31.87	1.48	-14.6083	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0773	[]	[]	[]	[]	[]	[]	-31.87	1.48	-14.6083	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0781	-4.723	0.8806	-3.9857	-5.3371	-4.504	>	-1.38	0.78	-1.1646	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0782	-3.8	2.3514	-3.2068	4.8	4.0507	>	-3.8	5.3	-3.2068	=	11.6161	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0786	-0.08	1.3736	-0.045	-15.5171	-8.7299	>	5.34	1.04	3.0043	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0787	-0.08	1.3736	-0.045	-15.5171	-8.7299	>	5.34	1.04	3.0043	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0793	-6.817	0.7176	-11.51	-6.813	-11.5074	>	1.32	0.8	-6.0166	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0807	-6.817	0.7176	-11.51	-102.5889	-76.1675	>	-7.03	0.36	-11.6538	>	-12.7099	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0812	-9.356	1.1799	-13.2242	-9.9641	-13.6347	>	-13.64	0.72	-16.1164	=	-11.5092	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0813	-12.954	1.0462	-10.9319	-13.5541	-11.4383	=	-14.73	1.19	-12.4306	=	-13.1652	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0815	-7.816	1.0689	-12.1845	-13.2882	-15.8789	=	[]	[]	[]	[]	-12.1445	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
