r_0001,D_LACDcm
r_2098,H2Otp
r_2099,H2Otv
r_2100,EX_h2o_e
r_2101,XANt
r_2102,EX_xtsn_e
r_2103,XTSNtr
r_2104,EX_xylt_e
r_2105,XYLTt
r_2106,EX_zymst_e
r_2129,Htm
r_2184,OCTAt
r_2185,DCATDc
r_2186,r2444
r_2187,EX_but_e
r_2188,EX_hxa_e
r_2189,EX_ocdcea_e
r_2190,BUTt
r_2191,HXAt3
r_2192,OCDCEAt
r_2193,EX_ttdca_e
r_2230,HXAt2
r_4043,EX_raffin_e
r_4044,EX_melib_e
r_4046,ATPM
r_4152,HEMELm
r_4153,ACTD
r_4171,GTHRDH_syn
r_4172,CD2abc1
r_4177,3MBZALDH
r_4179,4MBZALDH
r_4180,BZALDH
r_4183,MNLDH2
r_4185,OAADC
r_4188,GGCLUT2
r_4190,SPODMm
r_4191,2DOXG6PP
r_4197,FCYTOB5OXR_m
r_4202,METSOXR1
r_4205,OPAH
r_4208,GTHDH
r_4212,PYDXS
r_4214,AMPTASECG
r_4216,ACP1_FMN
r_4221,RE1317C
r_4222,GALK2
r_4224,NAabcO
r_4226,ALATA_L
r_4227,AMID2
r_4228,AMID3
r_4230,AMID5
r_4232,GNK
r_4236,GLYOX3
r_4248,SERD_D
r_4249,CYSS_m
r_4254,NODOx
r_4255,NODOy
r_4262,ACONTm
r_4266,NTPP5
r_4267,NTPP1
r_4268,NTPP7
r_4270,SPODM
r_4274,SHSL4r
r_4282,PFK26_1
r_4284,GLUK_syn
r_4285,GLUKA
r_4286,HEX10
r_4287,ABFPT
r_4288,G6PI_1
r_4291,GLYALDDr
r_4292,4ABUTD
r_4293,ABUTD
r_4294,ALDD20x
r_4296,ALDD32
r_4300,r0688
r_4302,NABTNO
r_4315,GLYCLTDx
r_4317,SUCR
r_4326,CYANSTm
r_4329,HMR_9626
r_4330,PYDXOR
r_4332,CHOLtu
r_4335,NTP2
r_4336,r0085
r_4342,G2PP
r_4347,3NUCLE4
r_4348,3GMPt6
r_4349,2PGLYCt6
r_4350,PGLYCP
r_4355,RE2034C
r_4359,3NUCLE2
r_4360,3UMPt6
r_4366,ARGKr
r_4367,ARGPt6
r_4376,3NUCLE1
r_4379,PALAt2
r_4384,5DGLCNR
r_4391,MEOHt2
r_4395,TAGAT_Dt
r_4396,AACOAT
r_4397,RE2640C
r_4400,MLTG1e
r_4406,PSER_Dt6
r_4407,PSP_D
r_4432,FDMO
r_4442,EX_cysam_e
r_4444,2PGt6
r_4445,3PGt6
r_4450,PSER_Lt6
r_4451,GMPt6
r_4455,PEPt6
r_4458,6PGCt6
r_4459,MAN1Pt6
r_4461,CHOLPtr
r_4462,TSULt
r_4463,AMPt6
r_4466,CMPt6
r_4467,GAMt1r
r_4468,DRIBt
r_4469,CITRt2r
r_4470,DHAt
r_4475,ACGLUtd
r_4476,ACGLUtm
r_4477,LPAMt
r_4484,SHSL2
r_4485,34HPPOR
r_4486,HGNTOR
r_4487,MACACI
r_4488,FUMAC
r_4489,ABTD
r_4490,XYLUR
r_4492,ABTDG
r_4494,EX_meoh_e
r_4496,EX_L_alagly_e
r_4498,EX_pala_e
r_4499,EX_5dglcn_e
r_4500,EX_tag__D_e
r_4502,EX_g6p_e
r_4503,EX_malttr_e
r_4504,EX_g1p_e
r_4505,EX_madg_e
r_4506,EX_gam_e
r_4507,EX_dha_e
r_4508,EX_ala_L_gln__L_e
r_4510,EX_gly_gln__L_e
r_4511,EX_ala_L_his__L_e
r_4512,EX_gly_asn__L_e
r_4513,EX_LalaLglu_e
r_4514,EX_gly_met__L_e
r_4515,EX_ala_L_asp__L_e
r_4516,EX_gly_glu__L_e
r_4517,EX_ala_L_Thr__L_e
r_4518,EX_met_L_ala__L_e
r_4519,EX_citr__L_e
r_4520,EX_C02356_e
r_4521,EX_cholp_e
r_4523,EX_2pg_e
r_4524,EX_gmp_e
r_4525,EX_pser__L_e
r_4526,EX_pser__D_e
r_4527,EX_ppi_e
r_4529,EX_pep_e
r_4530,EX_argp_e
r_4532,EX_ethamp_e
r_4535,EX_glyc2p_e
r_4536,EX_3gmp_e
r_4537,EX_2pglyc_e
r_4538,EX_6pgc_e
r_4539,EX_man6p_e
r_4540,EX_23cgmp_e
r_4541,EX_tyrp_e
r_4542,EX_thrp_e
r_4543,EX_3pg_e
r_4545,EX_3amp_e
r_4546,EX_23camp_e
r_4547,EX_man1p_e
r_4548,EX_amp_e
r_4549,EX_C02712_e
r_4550,EX_metsox_S__L_e
r_4552,EX_CE1310_e
r_4553,EX_Lcyst_e
r_4554,EX_isetac_e
r_4555,EX_acac_e
r_4556,EX_acglu_e
r_4557,EX_ump_e
r_4558,EX_cmp_e
r_4563,EX_3ump_e
r_4564,EX_23ccmp_e
r_4565,EX_23cump_e
r_4573,MMSAD3
r_4579,ACLS
r_4580,KARA1
r_4581,ERTHMMOR
r_4583,FACOAE1829Z12Z
r_4584,FACOAL1821
r_4585,STACHGALACT
r_4588,Clt
r_4590,MNt2
r_4591,r2073_1
r_4593,EX_cl_e
r_4594,EX_cu2_e
r_4595,EX_mn2_e
r_4596,EX_zn2_e
r_4597,EX_mg2_e
r_4600,EX_ca2_e
